Script started on Mon Jul  5 10:25:32 2021
command: php list.php
PHP Notice:  Use of undefined constant cnf_CLI - assumed 'cnf_CLI' in /Users/yb/github/pw_profile_united.git/site-united/classes/debug.php on line 16
Eperon d'or                    Henri d'Origny            1974/1989       2+(1)      OK Hermès, Eperon d'or, 1974/1989, Henri d&#039;Origny
Equitation japonaise           Francoise Perriere        1969                       OK Hermès, Equitation japonaise, 1969, Françoise de La Perrière
Escuela Andaluza               Hubert Watrigant          1996/2000                  OK Hermès, Escuela Andaluza, 1996/2000, Hubert de Watrigant
Etriers                        Francoise Perriere        1964/1990                  OK Hermès, Etriers, 1964/1990, Françoise de La Perrière
Ex-libris                      Hugo Grygkar              1946/1998       gavroche   OK Hermès, Ex-libris (gavroche), 1946/1998, Hugo Grygkar
Etude pour une parure          Florance Manlik           2017                       OK Hermès, Etude pour une parure, 2017, Florance Manlik
Farandole                      Caty Latham               1977/1990/2006             OK Hermès, Farandole, 1977/1990/2006, Cathy Latham-Audibert
Festival des amazones          Henri d'Origny            2013/2014                  OK Hermès, Festival des amazones, 2013/2014, Henri d&#039;Origny
Flore                          Philippe Ledoux           1967                       OK Hermès, Flore, 1967, Philippe Ledoux
Les Folies Du Ciel             Loic Dubigeon             1984/1990                  OK Hermès, Les Folies Du Ciel, 1984/1990, Loïc Dubigeon
Gibiers                        Henri Linares             1966/1991/1997             OK Hermès, Gibiers, 1966/1991/1997, Henri de Linarès
Grand cortege a Moscou         Michel Duchene            1992                       OK Hermès, Grand Cortège a Moscou, 1992, Michel Duchêne
Grand manege                   Henri d'Origny            1990/1993       2          OK Hermès, Grand manege, 1990/1993, Henri d&#039;Origny
Grand tenue                    Henri d'Origny            1985/1998                  OK Hermès, Grand tenue, 1985/1998, Henri d&#039;Origny
Grande venerie royale          Charles-Jean Hallo        1957                       OK Hermès, Grande venerie royale, 1957, Charles-Jean Hallo
Hermes-sellier                 Benoit-Pierre Emery       2009/2012       gavroche   OK Hermès, Hermes-sellier, 2009/2012, Benoît-Pierre Emery
Insectes                       Grygkar&La Torre          1958                       OK Hermès, Insectes, 1958, La Torre, Hugo Grygkar
Levriers                       Xavier Poret              1957/1970/2002             OK Hermès, Levriers, 1957/1970/2002, Xavier de Poret
Maillons                       Caty Latham               1973                       OK Hermès, Maillons, 1973, Cathy Latham-Audibert
Magic Kelly                    Dimitri Rybaltchenko      2011                       OK Hermès, Magic Kelly, 2011, Dimitri Rybaltchenko
Marche Flottant du Lac Inle II Dimitri Rybaltchenko      1998/2001                  OK Hermès, Marche Flottant du Lac Inle II, 1998/2001, Dimitri Rybaltchenko
Mare aux canards               Daphne Duchesne           1981                       OK Hermès, Mare aux canards, 1981, Daphne Duchesne
Marine et cavalerie            Philippe Ledoux           1966/1984                  OK Hermès, Marine et cavalerie, 1966/1984, Philippe Ledoux
Monsieur et Madame ll          Barret&Dallet             2013            Aне      OK Hermès, Monsieur et Madame, 2020, Bali Barret
Mors a la conetable            Henri d'Origny            1970/1985                  OK Hermès, Mors a la conetable, 1970/1985, Henri d&#039;Origny
Mozart                         Julie Abadie              1991                       OK Hermès, Mozart, 1991, Julia Abadie
Muzerolles                     Christiane Vauzelles      1986                       OK Hermès, Muzerolles, 1986, Christiane Vauzelles
Napoleon                       Philippe Ledoux           1963/1985                  OK Hermès, Napoleon, 1963/1985, Philippe Ledoux
Palefroi                       Francoise Perriere        1965/1983                  OK Hermès, Palefroi, 1965/1983, Françoise de La Perrière
Parures de Samouraïs          Aline Honore              2017                       OK Hermès, Parures de Samouraïs, 2017, Aline Honore
Passementerie                  Marie-Francoise Heron     1960/1981                  OK Hermès, Passementerie, 1960/1981, Françoise Heron
Petits chevaux                 Jacques Eudel             1974            gavroche   OK Hermès, Petits chevaux, 1974, Jacques Eudel
Plumes                         Henri Linares             1953/1964                  OK Hermès, Plumes, 1953/1964, Henri de Linarès
Promenade de Longchamp         Philippe Ledoux           1965/1970                  OK Hermès, Promenade de Longchamp, 1965/1970, Philippe Ledoux
Reale                          Hugo Grygkar              1953/1990                  OK Hermès, Reale, 1953/1990, Hugo Grygkar
Reprise                        Philippe Ledoux           1970/1993                  OK Hermès, Reprise , 1970/1993, Philippe Ledoux
Reveries japonaises            Caty Latham               1991                       OK Hermès, Reveries japonaises, 1991, Cathy Latham-Audibert
Ryton                          Karin Swildens            1978                       OK Hermès, Ryton, 1978, Karin Swildens
Rose de vents                  Joachim Metz              1984/2012                  OK Hermès, Rose de vents, 1984/2012, Joachim Metz
Selles a housse                Christiane Vauzelles      1968/1989                  OK Hermès, Selles a housse, 1968/1989, Christiane Vauzelles
Splendeur des maharadjas       Catherine Baschet         1996/2001                  OK Hermès, Splendeur des maharadjas, 1996/2001, Catherine Baschet
Springs                        Philippe Ledoux           1974/1981                  OK Hermès, Springs, 1974/1981, Philippe Ledoux
Sulfures & presse-papiers      Caty Latham               1979                       OK Hermès, Sulfures & presse-papiers, 1979, Cathy Latham-Audibert
Tambours                       Joachim Metz              1989/1990                  OK Hermès, Tambours, 1989/1990, Joachim Metz
Tarot                          Annie Faivre              1991                       OK Hermès, Tarot, 1991, Annie Faivre
Tribord                        Julie Abadie              1968/1990                  OK Hermès, Tribord, 1968/1990, Julia Abadie
Tropiques                      Laurance Bourthoumieux    1987/1990                  OK Hermès, Tropiques, 1987/1990, Laurence Bourthoumieux
Tuileries                      Joachim Metz              1996                       OK Hermès, Tuileries, 1996, Joachim Metz
Vive le vent                   Laurence Bourthoumieux    1992/1995                  OK Hermès, Vive le vent, 1992/1995, Laurence Bourthoumieux
Voitures a transformation      Francoise Perriere        1965/1980       3          OK Hermès, Les Voitures a Transformation, 1965/1980, Françoise de La Perrière
Wachington's carriage          Caty Latham               1979/1981                  OK Hermès, Wachington's carriage, 1979/1981, Cathy Latham-Audibert
Zabavushka                     Evgenia Miroshnichenko    2009                       OK Hermès, Zabavushka, 2009, Evgenia Miro (Miroshnichenko)
Le saut H                      Cyrill Diatkine           2016                       OK Hermès, Le saut H, 2016, Cyrille Diatkine
L'Hiver                        Philippe Ledoux           1969(1968?)                OK Hermès, L'Hiver, 1969(1968?), Philippe Ledoux
Sacre du printems              Henri d'Origny            1986                       OK Hermès, Sacre du printems, 1986, Henri d&#039;Origny
Carpe Diem                     Joachim Metz              1994                       OK Hermès, Carpe Diem, 1994, Joachim Metz
Libre com l'air                Annie Faivre              2003                       OK Hermès, Libre comme l'air, 2003, Annie Faivre
Le temps des marionnettes      Annie Faivre              1996                       OK Hermès, Le temps des marionnettes, 1996, Annie Faivre
Monsieur et Madame             Bali Barret               2020                       OK Hermès, Monsieur et Madame, 2020, Bali Barret
Torana                         Annie Faivre              1987/1990/2000  gavroche   OK Hermès, Torana, 1987/1990/2000, Annie Faivre
La mecanique des idees         Christine Henry           2004                       OK Hermès, La mecanique des idees, 2004, Christine Henry
L'art des steppes              Annie Faivre              1991/1997/2000             OK Hermès, L'art des steppes, 1991/1997/2000, Annie Faivre
Le Carnaval de Venise          Hubert Watrigant          1993/1997                  OK Hermès, Le Carnaval de Venise, 1993/1997, Hubert de Watrigant

Script done on Mon Jul  5 10:25:33 2021
